root pos x,root pos y,root pos z,root rot w,root rot x,root rot y,root rot z,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
0.017238,-0.007394,0.352252,-0.000415,0.059475,0.332931,0.941073,-0.739175,-0.112971,-0.508189,0.555322,-0.08852,-0.167218,0.109183,-0.167191,-0.657393,0.529111,-0.652825,0.18323,-0.75731,0.081232,-0.923503,-1.184738,0.105081,-0.490568,-0.106697,0.347979,-1.91,-0.991936
0.016694,-0.01072,0.353648,-0.038609,0.056409,0.316018,0.946288,-0.776268,-0.021935,-0.522946,0.588491,-0.109758,-0.186348,0.078495,-0.066253,-0.589292,0.471458,-0.609463,0.136382,-0.470033,0.246105,-0.687684,-1.567823,0.325785,-1.051585,0.182309,0.32185,-1.378214,-0.914256
0.016325,-0.01292,0.355475,-0.051935,0.048238,0.275857,0.958582,-0.759529,0.064476,-0.463882,0.610254,-0.147174,-0.184926,0.064345,-0.032648,-0.483716,0.433403,-0.56807,0.112815,-0.177009,0.263449,-0.391343,-1.728762,0.629226,-1.580211,0.347186,0.264115,-0.51055,-0.043889
0.018113,-0.01684,0.355226,-0.079222,0.032097,0.292982,0.952289,-0.791712,0.095223,-0.52435,0.674281,-0.165033,-0.208584,0.11545,0.06366,-0.475936,0.360634,-0.521364,0.103123,-0.087014,0.28408,-0.365362,-1.669866,0.63207,-1.69281,0.359999,0.777278,-0.348906,0.116614
0.020031,-0.018369,0.354863,-0.084434,0.031193,0.32987,0.939725,-0.811858,0.058086,-0.550175,0.678462,-0.140259,-0.214745,0.138321,0.094382,-0.520032,0.345792,-0.518548,0.09505,-0.087574,0.27965,-0.443275,-1.618112,0.661812,-1.57847,0.26234,0.651708,-0.452508,0.057054
0.020362,-0.018046,0.356466,-0.08341,0.038254,0.313215,0.945239,-0.801777,0.082612,-0.500228,0.659921,-0.148618,-0.194823,0.103391,0.075277,-0.481666,0.368596,-0.514268,0.083091,-0.049745,0.277687,-0.445429,-1.621629,0.662691,-1.508303,0.244998,0.632247,-0.542334,0.118121
0.017614,-0.017743,0.355878,-0.089169,0.042462,0.28384,0.953772,-0.818248,0.122475,-0.455751,0.685715,-0.176025,-0.188155,0.062104,0.071566,-0.440177,0.384856,-0.518573,0.072946,-0.027644,0.309378,-0.450387,-1.617585,0.711552,-1.521075,0.295857,0.667378,-0.544751,0.068954
0.01479,-0.014901,0.355819,-0.086757,0.050547,0.257109,0.961152,-0.83138,0.136814,-0.397686,0.709946,-0.18706,-0.176598,0.022213,0.042676,-0.416758,0.407003,-0.521928,0.082777,-0.055083,0.33826,-0.516562,-1.599825,0.688875,-1.51131,0.325614,0.666819,-0.553528,0.05631
0.011648,-0.011418,0.356321,-0.085242,0.063694,0.212432,0.971365,-0.842181,0.173051,-0.317397,0.732512,-0.214355,-0.151343,-0.047654,0.005255,-0.335076,0.425205,-0.510429,0.095598,-0.067578,0.352892,-0.543879,-1.58525,0.70158,-1.520986,0.36,0.683381,-0.587119,0.029406
0.008112,-0.006462,0.356817,-0.082739,0.082135,0.163988,0.979549,-0.862566,0.203995,-0.233763,0.75845,-0.239726,-0.119903,-0.140037,-0.036131,-0.251382,0.453697,-0.483062,0.12664,-0.089111,0.346773,-0.550586,-1.560355,0.673831,-1.534508,0.36,0.695518,-0.637559,-0.025077
0.004936,0.000896,0.358746,-0.080325,0.100419,0.108505,0.985744,-0.871776,0.238202,-0.147315,0.777639,-0.265822,-0.076124,-0.246549,-0.064541,-0.146252,0.486249,-0.461439,0.115199,-0.105977,0.336849,-0.529871,-1.530328,0.641476,-1.549996,0.36,0.702691,-0.69208,-0.078192
-0.000322,0.008739,0.359591,-0.071031,0.119137,0.048211,0.98916,-0.87512,0.264042,-0.035036,0.785053,-0.28604,-0.022323,-0.371952,-0.097944,-0.048219,0.525225,-0.419806,0.144415,-0.134872,0.297428,-0.630355,-1.457065,0.669107,-1.526093,0.36,0.73822,-0.764133,-0.151161
-0.00309,0.017767,0.361436,-0.062709,0.132507,-0.021281,0.988967,-0.852847,0.302862,0.101866,0.801954,-0.331016,0.037585,-0.46327,-0.105675,0.05046,0.51138,-0.346365,0.162587,-0.156109,0.28052,-0.685534,-1.402697,0.682601,-1.455212,0.36,0.770291,-0.866872,-0.191942
-0.007282,0.028177,0.363372,-0.049047,0.147036,-0.092316,0.983592,-0.816888,0.325642,0.253167,0.775417,-0.345429,0.090205,-0.541474,-0.115723,0.112476,0.457077,-0.244956,0.196679,-0.16724,0.251049,-0.732351,-1.357921,0.709958,-1.367339,0.36,0.795265,-0.967248,-0.269136
-0.012556,0.039989,0.365708,-0.039188,0.153842,-0.164629,0.973496,-0.781456,0.349338,0.394279,0.762657,-0.358009,0.146049,-0.588167,-0.100265,0.090396,0.397115,-0.151414,0.176315,-0.180441,0.230562,-0.777449,-1.319101,0.71426,-1.267197,0.36,0.844537,-1.068375,-0.354301
-0.015069,0.058948,0.367326,-0.031926,0.159342,-0.233863,0.958592,-0.755118,0.351459,0.519354,0.75863,-0.385948,0.210195,-0.604262,-0.088123,-0.105064,0.391545,-0.136656,0.09551,-0.215277,0.222341,-0.836479,-1.286207,0.716261,-1.163179,0.36,0.866754,-1.179668,-0.532866
-0.010889,0.080967,0.369214,-0.025548,0.16232,-0.300326,0.939577,-0.722552,0.330686,0.561826,0.728892,-0.398884,0.23114,-0.605363,-0.082907,-0.340217,0.430331,-0.161011,0.003383,-0.266092,0.206428,-0.882405,-1.25879,0.712481,-1.082848,0.36,0.899612,-1.294601,-0.74094
-0.002658,0.105697,0.373423,-0.019039,0.160414,-0.358102,0.919602,-0.705378,0.276419,0.463382,0.659176,-0.364223,0.236014,-0.625977,-0.114785,-0.513562,0.490938,-0.105991,-0.074588,-0.309634,0.178084,-0.927276,-1.250635,0.717412,-1.041801,0.36,0.920284,-1.39412,-0.891079
0.017647,0.116172,0.376519,-0.011152,0.151178,-0.403049,0.902536,-0.649023,0.212287,0.305802,0.629731,-0.393214,0.211878,-0.583733,-0.16716,-0.615218,0.55018,-0.086346,-0.085325,-0.38974,0.109204,-0.976123,-1.218983,0.714415,-1.007959,0.36,0.930714,-1.488043,-1.016721
0.03246,0.125518,0.377055,-0.000102,0.141554,-0.444992,0.884277,-0.608601,0.157838,0.1661,0.587955,-0.396215,0.169631,-0.575768,-0.228278,-0.641691,0.602186,-0.071641,-0.079234,-0.490486,0.025924,-1.037383,-1.169787,0.730768,-0.992974,0.36,0.908422,-1.575955,-1.183978
0.044969,0.131435,0.376078,0.016256,0.131239,-0.482508,0.865851,-0.569318,0.104913,0.081063,0.542654,-0.390419,0.141324,-0.562166,-0.289092,-0.685463,0.61653,-0.060409,-0.04093,-0.608601,-0.067038,-1.044971,-1.13035,0.727461,-0.995663,0.36,0.884398,-1.648598,-1.338359
0.048232,0.130441,0.376454,0.03368,0.12525,-0.52516,0.841062,-0.54594,0.101463,0.111994,0.528759,-0.357113,0.129472,-0.570921,-0.287645,-0.607072,0.565646,-0.038263,0.020474,-0.709083,-0.151165,-0.993277,-1.089978,0.763113,-1.028808,0.36,0.861638,-1.718668,-1.478601
0.046364,0.129676,0.375234,0.041472,0.109783,-0.560479,0.819812,-0.500476,0.116031,0.165444,0.523599,-0.353983,0.099264,-0.564195,-0.269436,-0.494919,0.490514,-0.003274,0.08777,-0.80258,-0.228713,-0.936789,-1.046778,0.76912,-1.059952,0.36,0.823398,-1.759389,-1.560936
0.046896,0.128196,0.375099,0.04496,0.098915,-0.587348,0.802008,-0.459063,0.126548,0.200141,0.522536,-0.36045,0.081549,-0.552657,-0.252308,-0.431003,0.441915,0.019062,0.109251,-0.869686,-0.307148,-0.913412,-1.017719,0.791615,-1.101083,0.36,0.78035,-1.783349,-1.618642
0.04808,0.125781,0.375446,0.048262,0.090035,-0.610344,0.785522,-0.434489,0.140669,0.181779,0.535969,-0.361906,0.065018,-0.527537,-0.233081,-0.398993,0.388135,0.020989,0.117804,-0.923776,-0.35996,-0.831906,-0.993284,0.841932,-1.145779,0.36,0.731266,-1.787233,-1.665117
0.04948,0.122293,0.375539,0.048602,0.084429,-0.629234,0.771086,-0.417147,0.168211,0.123675,0.552191,-0.365044,0.021596,-0.503637,-0.213174,-0.361023,0.345109,0.016035,0.116645,-0.94352,-0.36,-0.765796,-1.010993,0.916785,-1.191772,0.36,0.679523,-1.782588,-1.713269
0.049543,0.125292,0.375095,0.041293,0.074728,-0.646078,0.758481,-0.407387,0.199855,0.031693,0.55662,-0.339419,-0.034258,-0.496299,-0.19599,-0.329915,0.333551,0.018553,0.110801,-0.920377,-0.36,-0.723469,-1.031589,0.944371,-1.234685,0.36,0.606102,-1.768611,-1.703255
0.04993,0.122328,0.374139,0.039778,0.067529,-0.655773,0.750879,-0.383682,0.215862,-0.044829,0.551,-0.342286,-0.082993,-0.478152,-0.194159,-0.297386,0.331846,-0.009771,0.114986,-0.869409,-0.36,-0.689918,-1.047842,0.942601,-1.255533,0.36,0.562376,-1.735789,-1.677634
0.048389,0.119989,0.373058,0.04071,0.063467,-0.661751,0.745922,-0.358172,0.232278,-0.09574,0.525352,-0.346052,-0.120335,-0.485256,-0.197672,-0.254076,0.354183,-0.033549,0.122216,-0.779543,-0.347035,-0.680057,-1.080993,0.929182,-1.265631,0.36,0.530238,-1.69025,-1.621791
0.045244,0.120125,0.372435,0.037196,0.06038,-0.661442,0.746636,-0.326848,0.249142,-0.104924,0.479903,-0.339528,-0.131112,-0.504124,-0.196372,-0.232239,0.408329,-0.063682,0.110842,-0.589614,-0.227777,-0.726063,-1.205249,0.994565,-1.24411,0.36,0.511974,-1.63972,-1.496716
0.041722,0.111719,0.370726,0.03173,0.070933,-0.658815,0.748281,-0.298264,0.288507,-0.074451,0.475272,-0.393832,-0.134361,-0.498089,-0.164673,-0.249559,0.450132,-0.127623,0.087064,-0.358196,-0.009313,-0.792348,-1.466737,1.062587,-1.189559,0.36,0.547895,-1.647037,-1.335777
